Study_ID,ES_ID,Ref_ID,Author,Year,Title,Record_Type,Country,Level,Setting,Training,Duration,grpT,grpC,Occasion,CM_Type,Comparison,Comparison_Author,Interaction,Time,N,Design_Exp,Design_Measures,Design_An_Prim,ES_stat,,Other_ES,mTa,sdTa,mTb,sdTb,mTc,sdTc,nT,rppT,pairtT,mCa,sdCa,mCb,sdCb,mCc,sdCc,nC,rppC,pairtC,ti
37,1,1025,Esiobu and Soyibo,1995,Effects of concept and vee mappings under three learning modes on students' cognitive achievement in ecology and genetics,Journal,Nigeria,Sec,Intact,Extensive,4,1,3,1,Constructed,BAU,"control (lecture, discussion, practicals)",Collaborative,1,808,Quasi,PPC,ANCOVA,PP,,1,2.9,4.03,21.3,5.136,,,135,,,3.11,3.74,15.14,5.09,,,135,,,
37,2,1025,Esiobu and Soyibo,1995,Effects of concept and vee mappings under three learning modes on students' cognitive achievement in ecology and genetics,Journal,Nigeria,Sec,Intact,Extensive,4,1,3,2,Constructed,BAU,"control (lecture, discussion, practicals)",Collaborative,1,808,Quasi,PPC,ANCOVA,PP,,1,2.76,3.01,20.13,4.29,,,135,,,2.43,2.86,13.02,4.54,,,135,,,
37,3,1025,Esiobu and Soyibo,1995,Effects of concept and vee mappings under three learning modes on students' cognitive achievement in ecology and genetics,Journal,Nigeria,Sec,Intact,Extensive,4,1,3,1,Constructed,BAU,"control (lecture, discussion, practicals)",Minimal,1,808,Quasi,PPC,ANCOVA,PP,,1,3.01,3.82,19.02,4.57,,,136,,,2.94,4.05,10.92,4.19,,,134,,,
37,4,1025,Esiobu and Soyibo,1995,Effects of concept and vee mappings under three learning modes on students' cognitive achievement in ecology and genetics,Journal,Nigeria,Sec,Intact,Extensive,4,1,3,2,Constructed,BAU,"control (lecture, discussion, practicals)",Minimal,1,808,Quasi,PPC,ANCOVA,PP,,1,2.7,2.99,17.81,4.47,,,136,,,3.15,2.04,9.53,3.61,,,134,,,
38,1,1027,Lee,1997,Integrating concept mapping and metacognitive methods in a hypermedia environment for learning science,Diss/Thesis,United States,UG,Partial,None,2,1,3,1,Studied,BAU,"no cues, simple links only",Minimal,1,70,Exp,PPC,ANCOVA,PP,,1,36.53,18.88,56.44,16.55,20.45,13.14,18,,,42.15,16.92,53.18,16.24,11.03,8.42,18,,,
38,2,1027,Lee,1997,Integrating concept mapping and metacognitive methods in a hypermedia environment for learning science,Diss/Thesis,United States,UG,Partial,None,2,1,4,1,Studied,Reform,with meta cognitive cues,Minimal,1,71,Exp,PPC,ANCOVA,PP,,1,36.53,18.88,56.44,16.55,20.45,13.14,18,,,38.63,19.71,59.07,19.5,19.92,12.15,14,,,
39,1,1028,Tastan,2008,Effectiveness of the conceptual change texts accompanied by concept maps about students' understanding,Journal,Turkey,Sec,Intact,Minimal,5,1,3,1,Constructed,BAU,traditional,Minimal,1,50,Quasi,PPC,Ttest,PP,,0,14.12,3.05,18.48,3.92,,,25,,,13.12,4.52,16.08,6.16,,,25,,,
40,1,1030,Wang,2004,EFFECT OF VARIED CONCEPT MAPPING,Journal,United States,UG,Research,Minimal,1,1,3,1,Constructed,BAU,control,Minimal,1,156,Exp,POC,ANOVA,PO,,1,,,31.56,11.78,,,25,,,,,22.34,7.64,,,29,,,
42,1,1033,Eze,2015,EFFECT OF CONCEPT MAPPING ON STUDENTS ACHIEVEMENT AND INTEREST IN BIOLOGY,Diss/Thesis,Nigeria,Sec,Intact,None,1,1,3,1,Constructed,BAU,Traditonal (Lecture),Minimal,1,80,Quasi,PPC,ANCOVA,PP,,1,16.22,5.29,49.35,17.69,,,40,,,13.25,4.69,22.27,6.91,,,40,,,
43,1,1042,Balim,2013,The effect of mind-mapping applications on upper primary students' success and inquiry-learning skills in science and environment education,Journal,Turkey,Pri,Intact,None,3,1,3,1,Constructed,BAU,traditional (teacher-oriented),Collaborative,1,64,Quasi,PPC,Ttest,PP,,1,7.02,2.54,15.09,3.04,,,32,,,7.06,2.52,7.63,1.82,,,32,,,
43,2,1042,Balim,2013,The effect of mind-mapping applications on upper primary students' success and inquiry-learning skills in science and environment education,Journal,Turkey,Pri,Intact,None,3,1,3,1,Constructed,BAU,traditional (teacher-oriented),Collaborative,2,64,Quasi,PPC,Ttest,PP,,1,7.02,2.54,15.02,3.39,,,32,,,7.06,2.52,10.14,2.41,,,32,,,
44,1,1043,Appaw et al.,2021,EFFECT OF CONCEPT MAPPING ON THE ACHIEVEMENT OF BIOLOGY STUDENTS AT THE SENIOR HIGH SCHOOL LEVEL IN GHANA,Journal,Ghana,Sec,Intact,Minimal,2,1,3,1,Constructed,BAU,Traditional,Collaborative,1,105,Quasi,PPC,Ttest,PP,,0,12.53,5.697,35.25,12.959,,,51,,17.364,12.57,6.762,25.8,10.113,,,54,,17.053,
41,1,1031,Okebukola,1988,"Cognitive preference and learning
mode as determinants of meaningful
learning through concept mapping",Journal,Nigera,Sec,Intact,Extensive,3,1,3,1,Constructed,BAU,"Expository, ",Collaborative,1,145,Quasi,PPC,Ttest,TS,,1,,,,,25.12,,64,,,,,,,18.23,,81,,,11.14
